descrip,seriesID,date,cpi-value
Food & Bev.,CUURA316SAF,February-1995,144.1
Food & Bev.,CUURA316SAF,April-1995,145.7
Food & Bev.,CUURA316SAF,June-1995,144.1
Food & Bev.,CUURA316SAF,August-1995,145.5
Food & Bev.,CUURA316SAF,October-1995,146.8
Food & Bev.,CUURA316SAF,December-1995,148.2
Food & Bev.,CUURA316SAF,February-1996,149.8
Food & Bev.,CUURA316SAF,April-1996,151.8
Food & Bev.,CUURA316SAF,June-1996,152.5
Food & Bev.,CUURA316SAF,August-1996,152.7
Food & Bev.,CUURA316SAF,October-1996,155.8
Food & Bev.,CUURA316SAF,December-1996,156.0
Food & Bev.,CUURA316SAF,February-1997,155.7
Food & Bev.,CUURA316SAF,April-1997,155.3
Food & Bev.,CUURA316SAF,June-1997,157.1
Food & Bev.,CUURA316SAF,August-1997,157.4
Food & Bev.,CUURA316SAF,October-1997,158.1
Food & Bev.,CUURA316SAF,December-1997,159.6
Food & Bev.,CUURA316SAF,January-1998,158.9
Food & Bev.,CUURA316SAF,March-1998,159.0
Food & Bev.,CUURA316SAF,May-1998,159.4
Food & Bev.,CUURA316SAF,July-1998,160.5
Food & Bev.,CUURA316SAF,September-1998,160.9
Food & Bev.,CUURA316SAF,November-1998,161.2
Food & Bev.,CUURA316SAF,January-1999,163.0
Food & Bev.,CUURA316SAF,March-1999,165.4
Food & Bev.,CUURA316SAF,May-1999,165.6
Food & Bev.,CUURA316SAF,July-1999,164.1
Food & Bev.,CUURA316SAF,September-1999,165.0
Food & Bev.,CUURA316SAF,November-1999,166.3
Food & Bev.,CUURA316SAF,January-2000,168.1
Food & Bev.,CUURA316SAF,March-2000,166.5
Food & Bev.,CUURA316SAF,May-2000,168.8
Food & Bev.,CUURA316SAF,July-2000,168.9
Food & Bev.,CUURA316SAF,September-2000,171.6
Food & Bev.,CUURA316SAF,November-2000,170.3
Food & Bev.,CUURA316SAF,January-2001,171.4
Food & Bev.,CUURA316SAF,March-2001,170.4
Food & Bev.,CUURA316SAF,May-2001,170.8
Food & Bev.,CUURA316SAF,July-2001,174.7
Food & Bev.,CUURA316SAF,September-2001,176.1
Food & Bev.,CUURA316SAF,November-2001,176.6
Food & Bev.,CUURA316SAF,January-2002,177.2
Food & Bev.,CUURA316SAF,March-2002,176.6
Food & Bev.,CUURA316SAF,May-2002,175.2
Food & Bev.,CUURA316SAF,July-2002,176.6
Food & Bev.,CUURA316SAF,September-2002,176.6
Food & Bev.,CUURA316SAF,November-2002,177.0
Food & Bev.,CUURA316SAF,January-2003,176.6
Food & Bev.,CUURA316SAF,March-2003,177.4
Food & Bev.,CUURA316SAF,May-2003,178.6
Food & Bev.,CUURA316SAF,July-2003,177.3
Food & Bev.,CUURA316SAF,September-2003,180.5
Food & Bev.,CUURA316SAF,November-2003,183.6
Food & Bev.,CUURA316SAF,January-2004,184.0
Food & Bev.,CUURA316SAF,March-2004,184.7
Food & Bev.,CUURA316SAF,May-2004,186.9
Food & Bev.,CUURA316SAF,July-2004,186.3
Food & Bev.,CUURA316SAF,September-2004,185.1
Food & Bev.,CUURA316SAF,November-2004,186.8
Food & Bev.,CUURA316SAF,January-2005,186.4
Food & Bev.,CUURA316SAF,March-2005,184.5
Food & Bev.,CUURA316SAF,May-2005,189.2
Food & Bev.,CUURA316SAF,July-2005,191.2
Food & Bev.,CUURA316SAF,September-2005,191.8
Food & Bev.,CUURA316SAF,November-2005,192.4
Food & Bev.,CUURA316SAF,January-2006,196.0
Food & Bev.,CUURA316SAF,March-2006,196.0
Food & Bev.,CUURA316SAF,May-2006,196.1
Food & Bev.,CUURA316SAF,July-2006,196.1
Food & Bev.,CUURA316SAF,September-2006,197.4
Food & Bev.,CUURA316SAF,November-2006,198.7
Food & Bev.,CUURA316SAF,January-2007,199.922
Food & Bev.,CUURA316SAF,March-2007,201.937
Food & Bev.,CUURA316SAF,May-2007,204.054
Food & Bev.,CUURA316SAF,July-2007,205.257
Food & Bev.,CUURA316SAF,September-2007,207.911
Food & Bev.,CUURA316SAF,November-2007,210.102
Food & Bev.,CUURA316SAF,January-2008,212.703
Food & Bev.,CUURA316SAF,March-2008,213.119
Food & Bev.,CUURA316SAF,May-2008,215.002
Food & Bev.,CUURA316SAF,July-2008,219.621
Food & Bev.,CUURA316SAF,September-2008,221.091
Food & Bev.,CUURA316SAF,November-2008,223.198
Food & Bev.,CUURA316SAF,January-2009,223.349
Food & Bev.,CUURA316SAF,March-2009,223.475
Food & Bev.,CUURA316SAF,May-2009,221.461
Food & Bev.,CUURA316SAF,July-2009,222.630
Food & Bev.,CUURA316SAF,September-2009,222.579
Food & Bev.,CUURA316SAF,November-2009,221.142
Food & Bev.,CUURA316SAF,January-2010,222.341
Food & Bev.,CUURA316SAF,March-2010,223.026
Food & Bev.,CUURA316SAF,May-2010,222.261
Food & Bev.,CUURA316SAF,July-2010,223.807
Food & Bev.,CUURA316SAF,September-2010,224.381
Food & Bev.,CUURA316SAF,November-2010,223.468
Food & Bev.,CUURA316SAF,January-2011,226.470
Food & Bev.,CUURA316SAF,March-2011,228.645
Food & Bev.,CUURA316SAF,May-2011,229.349
Food & Bev.,CUURA316SAF,July-2011,230.293
Food & Bev.,CUURA316SAF,September-2011,232.668
Food & Bev.,CUURA316SAF,November-2011,234.721
Food & Bev.,CUURA316SAF,January-2012,235.606
Food & Bev.,CUURA316SAF,March-2012,235.629
Food & Bev.,CUURA316SAF,May-2012,235.895
Food & Bev.,CUURA316SAF,July-2012,236.688
Food & Bev.,CUURA316SAF,September-2012,238.012
Food & Bev.,CUURA316SAF,November-2012,238.730
Food & Bev.,CUURA316SAF,January-2013,239.781
Food & Bev.,CUURA316SAF,March-2013,241.362
Food & Bev.,CUURA316SAF,May-2013,242.158
Food & Bev.,CUURA316SAF,July-2013,242.515
Food & Bev.,CUURA316SAF,September-2013,243.322
Food & Bev.,CUURA316SAF,November-2013,243.225
Food & Bev.,CUURA316SAF,January-2014,244.901
Food & Bev.,CUURA316SAF,March-2014,244.707
Food & Bev.,CUURA316SAF,May-2014,246.349
Food & Bev.,CUURA316SAF,July-2014,245.785
Food & Bev.,CUURA316SAF,September-2014,249.118
Food & Bev.,CUURA316SAF,November-2014,249.432
Food & Bev.,CUURA316SAF,January-2015,249.845
Food & Bev.,CUURA316SAF,March-2015,249.256
Housing,CUURA316SAH,February-1982,92.5
Housing,CUURA316SAH,April-1982,95.9
Housing,CUURA316SAH,June-1982,98.5
Housing,CUURA316SAH,August-1982,97.4
Housing,CUURA316SAH,October-1982,98.4
Housing,CUURA316SAH,December-1982,95.8
Housing,CUURA316SAH,February-1983,96.7
Housing,CUURA316SAH,April-1983,97.9
Housing,CUURA316SAH,June-1983,101.3
Housing,CUURA316SAH,August-1983,101.0
Housing,CUURA316SAH,October-1983,101.3
Housing,CUURA316SAH,December-1983,100.7
Housing,CUURA316SAH,February-1984,103.0
Housing,CUURA316SAH,April-1984,102.8
Housing,CUURA316SAH,June-1984,104.0
Housing,CUURA316SAH,August-1984,105.3
Housing,CUURA316SAH,October-1984,106.3
Housing,CUURA316SAH,December-1984,103.4
Housing,CUURA316SAH,February-1985,105.0
Housing,CUURA316SAH,April-1985,105.6
Housing,CUURA316SAH,June-1985,107.9
Housing,CUURA316SAH,August-1985,110.0
Housing,CUURA316SAH,October-1985,109.1
Housing,CUURA316SAH,December-1985,107.7
Housing,CUURA316SAH,February-1986,109.7
Housing,CUURA316SAH,April-1986,109.8
Housing,CUURA316SAH,June-1986,111.3
Housing,CUURA316SAH,August-1986,111.6
Housing,CUURA316SAH,October-1986,110.0
Housing,CUURA316SAH,December-1986,107.1
Housing,CUURA316SAH,February-1987,108.0
Housing,CUURA316SAH,April-1987,109.1
Housing,CUURA316SAH,June-1987,109.7
Housing,CUURA316SAH,August-1987,110.5
Housing,CUURA316SAH,October-1987,111.4
Housing,CUURA316SAH,December-1987,108.9
Housing,CUURA316SAH,February-1988,107.9
Housing,CUURA316SAH,April-1988,109.2
Housing,CUURA316SAH,June-1988,109.4
Housing,CUURA316SAH,August-1988,111.9
Housing,CUURA316SAH,October-1988,111.2
Housing,CUURA316SAH,December-1988,109.2
Housing,CUURA316SAH,February-1989,110.3
Housing,CUURA316SAH,April-1989,109.7
Housing,CUURA316SAH,June-1989,112.4
Housing,CUURA316SAH,August-1989,112.9
Housing,CUURA316SAH,October-1989,113.7
Housing,CUURA316SAH,December-1989,111.2
Housing,CUURA316SAH,February-1990,111.6
